scenario_id,result_scope,work_key,settlement_batch_id,internal_payment_id,processor_transaction_id,bank_entry_id,expected_outcome,expected_reason_code,expected_difference,explanation
mixed-exceptions,ORDER,SYNTH-ORDER-000001,,SYNTH-INT-000001,SYNTH-PROC-000001,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000002,,SYNTH-INT-000002,SYNTH-PROC-000002,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000003,,SYNTH-INT-000003,SYNTH-PROC-000003,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000004,,SYNTH-INT-000004,SYNTH-PROC-000004,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000005,,SYNTH-INT-000005,SYNTH-PROC-000005,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000006,,SYNTH-INT-000006,SYNTH-PROC-000006,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000007,,SYNTH-INT-000007,SYNTH-PROC-000007,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000008,,SYNTH-INT-000008,SYNTH-PROC-000008,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000009,,SYNTH-INT-000009,SYNTH-PROC-000009,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000010,,SYNTH-INT-000010,SYNTH-PROC-000010,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
